company_name,state,sector,paid_up_capital,authorized_cap_inr,age_years,director_count,sector_risk_score,credit_score,default_risk,log_cap,capital_tier,is_metro,state_msme_credit_cr,is_opportunity,credit_score_raw,state_npa_proxy,credit_gap_ratio
Nova Logistics Pvt Ltd,Rajasthan,F&B,199444.31632152808,227364.51944753047,15.831348018548614,2,0.55,92.2,0,12.203295374087295,Micro,False,51500.0,0,58.6,0.08,0.65
Lakshmi Tech Pvt Ltd,Maharashtra,Manufacturing,1243365.955055778,1566571.958155864,4.054620784815428,3,0.42,33.3,0,14.033333544186092,Small,True,226600.0,0,30.7,0.05,0.45
Lakshmi Logistics Corp,Gujarat,IT Services,1444579.375932701,1687571.5663970346,3.8208318326500814,5,0.15,50.4,0,14.183329440076808,Small,True,123600.0,0,36.8,0.06,0.45
Royal Logistics Corp,Uttar Pradesh,Manufacturing,540109.293934584,790573.1834588756,5.3152997744421295,3,0.42,33.6,0,13.199528645711675,Micro,False,51500.0,0,30.8,0.09,0.65
Green Logistics LLP,Maharashtra,Retail,45821.0389233216,67387.33159892516,2.5988612284352985,3,0.28,2.4,1,10.73252045356223,Micro,True,226600.0,0,12.3,0.05,0.65
Prime Ventures Ltd,Maharashtra,F&B,2400588.443898483,3223543.0483072377,5.618908887014621,2,0.55,49.1,0,14.6912248667874,Small,True,226600.0,0,36.4,0.05,0.45
Blue Systems Pvt Ltd,Rajasthan,IT Services,2879664.038674411,4007348.7328392537,8.789841840146629,1,0.15,91.1,0,14.87318453933223,Small,False,51500.0,0,57.2,0.08,0.45
Nova Solutions Pvt Ltd,Uttar Pradesh,IT Services,125212.81212494476,140917.42124677336,9.791231573761277,4,0.15,70.7,1,11.737778052050055,Micro,False,51500.0,0,44.8,0.09,0.65
Shree Industries Pvt Ltd,Tamil Nadu,IT Services,296367.5656046779,356360.46034324425,8.326411276588432,2,0.15,69.5,1,12.599359112814623,Micro,True,154500.0,0,44.2,0.06,0.65
Lakshmi Systems Ltd,Uttar Pradesh,IT Services,1380065.0101156414,2019071.805134978,1.119417853074843,3,0.15,24.6,0,14.137641889406538,Small,False,51500.0,0,27.4,0.09,0.45
Nova Industries Corp,Telangana,Manufacturing,4747378.72611331,6748250.886981503,6.480693187011899,5,0.42,72.4,0,15.373103387195648,Small,True,51500.0,1,45.7,0.06,0.45
Shree Enterprises Pvt Ltd,West Bengal,Manufacturing,158881.67792012193,185234.16500282203,2.6493888985020213,3,0.42,4.3,1,11.975921334122615,Micro,False,51500.0,0,15.6,0.08,0.65
Prime Systems Corp,Telangana,IT Services,445028.02199126093,534730.6139569045,4.86911545983802,3,0.15,43.1,1,13.005894776979668,Micro,True,51500.0,0,34.5,0.06,0.65
Prime Enterprises Corp,Karnataka,Retail,447408.1509448518,542016.4457719063,5.346202853438091,2,0.28,39.2,1,13.011228781438408,Micro,True,144200.0,0,33.2,0.05,0.65
Green Trading LLP,Uttar Pradesh,Manufacturing,871972.5954104806,1043632.5869052124,3.38424424857563,5,0.42,22.6,1,13.678514421940084,Micro,False,51500.0,0,26.7,0.09,0.65
Blue Logistics Corp,Telangana,F&B,643910.7797145685,765028.0915512596,8.65273663502125,3,0.55,59.6,1,13.375317007681918,Micro,True,51500.0,0,40.1,0.06,0.65
Blue Enterprises Ltd,Uttar Pradesh,Retail,2478015.7783016954,3454568.2137080147,8.967412268618723,3,0.28,86.8,0,14.722969112052942,Small,False,51500.0,0,54.1,0.09,0.45
Green Trading Pvt Ltd,Gujarat,Manufacturing,1321445.6697234649,1920132.6261550544,7.144997409906638,5,0.42,63.4,0,14.094237656346452,Small,True,123600.0,1,41.6,0.06,0.45
Shree Trading Ltd,Karnataka,Manufacturing,1688637.256044756,1863713.1752514744,8.607263513472912,2,0.42,76.7,0,14.339432996441632,Small,True,144200.0,0,47.8,0.05,0.45
Sai Solutions LLP,Tamil Nadu,F&B,3619156.687179636,4324529.004514124,2.7838887433420116,6,0.55,28.8,0,15.101751873627494,Small,True,154500.0,0,28.9,0.06,0.45
Lakshmi Tech Corp,Telangana,Construction,1931555.820461252,2500779.257952448,5.529297493458054,3,0.68,36.4,0,14.47383687844571,Small,True,51500.0,0,32.1,0.06,0.45
Shree Ventures Ltd,Tamil Nadu,Manufacturing,1280767.5398678714,1499579.337514056,4.897450489329853,4,0.42,41.2,0,14.062970877486542,Small,True,154500.0,0,33.8,0.06,0.45
Prime Ventures Pvt Ltd,Delhi,Logistics,289445.2480586317,349473.28148452577,3.611752350210326,3,0.35,15.8,0,12.575724887110589,Micro,True,103000.0,0,23.5,0.04,0.65
Lakshmi Trading LLP,Rajasthan,Retail,1312327.816835272,1904121.0337321071,2.403597829666183,4,0.28,28.3,0,14.087313839673437,Small,False,51500.0,0,28.6,0.08,0.45
Nova Solutions Corp,Maharashtra,IT Services,400541.7550800037,441426.6322021407,5.997110545534127,2,0.15,53.3,1,12.900575794049908,Micro,True,226600.0,0,37.8,0.05,0.65
Lakshmi Systems Corp,Maharashtra,Retail,20466940.507189848,25200147.00690123,3.416638441636094,5,0.28,72.8,0,16.834321533049156,Medium,True,226600.0,0,45.9,0.05,0.25
Apex Industries Ltd,Delhi,IT Services,533957.6659433335,793514.8782988613,8.293993448744356,3,0.15,75.3,0,13.18807371034594,Micro,True,103000.0,0,47.0,0.04,0.65
Lakshmi Systems Ltd,Gujarat,F&B,1023980.7517218704,1303945.5831960368,3.897745136075587,2,0.55,21.8,0,13.83920926383869,Small,True,123600.0,0,26.3,0.06,0.45
Nova Systems Pvt Ltd,Delhi,IT Services,728417.2898272629,874171.5202818189,4.361144202624921,3,0.15,45.5,0,13.498630736112966,Micro,True,103000.0,0,35.2,0.04,0.65
Nova Trading Corp,Delhi,Construction,203748.21046755105,233916.36429505143,6.1166438005815404,1,0.68,14.0,0,12.224645156089716,Micro,True,103000.0,0,22.7,0.04,0.65
Shree Tech LLP,Gujarat,F&B,299420.5220778646,388242.5270813504,5.141276945931173,2,0.55,17.7,0,12.609607632411736,Micro,True,123600.0,0,24.3,0.06,0.65
Nova Solutions LLP,Telangana,F&B,739261.3778356477,817713.1378360968,7.236724769483908,4,0.55,47.9,0,13.51340818134952,Micro,True,51500.0,0,36.0,0.06,0.65
Nova Solutions Pvt Ltd,Gujarat,Manufacturing,12981362.387105396,16658997.360379498,2.226073043483895,5,0.42,48.8,0,16.379025301251545,Small,True,123600.0,0,36.3,0.06,0.45
Sai Ventures Corp,Maharashtra,Logistics,7612612.96627522,9547424.38847119,2.1300658108388415,2,0.35,44.2,0,15.8453171618275,Small,True,226600.0,0,34.9,0.05,0.45
Nova Logistics LLP,Delhi,Retail,4636173.063756927,6462956.999425124,6.40124103444448,2,0.28,78.2,0,15.349400028844991,Small,True,103000.0,0,48.5,0.04,0.45
Blue Trading Ltd,Tamil Nadu,IT Services,477888.23987612815,573469.0322061264,6.683785907042545,3,0.15,61.9,0,13.077134268883036,Micro,True,154500.0,1,41.0,0.06,0.65
Nova Ventures Corp,West Bengal,Logistics,8522482.339159422,10465777.402050726,5.402226120744949,2,0.35,74.4,0,15.958218328068192,Small,False,51500.0,1,46.6,0.08,0.45
Blue Industries Ltd,West Bengal,Manufacturing,21178063.423702966,27094752.848686237,9.623651673198584,4,0.42,95.2,0,16.868476506978627,Medium,False,51500.0,0,64.0,0.08,0.25
Blue Systems Pvt Ltd,Delhi,Retail,18265048.322072875,27168542.97986312,6.76682444600266,5,0.28,90.4,0,16.720499918567736,Small,True,103000.0,0,56.7,0.04,0.45
Blue Solutions Corp,Maharashtra,F&B,112141.76531061884,149431.38811065562,5.595559681885325,4,0.55,10.4,0,11.627528028822695,Micro,True,226600.0,0,20.9,0.05,0.65
Royal Tech Ltd,Tamil Nadu,F&B,11043782.658444123,13246903.125661897,2.945789698377349,2,0.55,44.6,0,16.217378262782375,Small,True,154500.0,0,35.0,0.06,0.45
Sai Logistics LLP,Gujarat,Manufacturing,3176648.16758738,4439952.422876556,7.282524491694312,2,0.42,74.2,0,14.971337478317736,Small,True,123600.0,1,46.5,0.06,0.45
Shree Enterprises Ltd,Karnataka,Construction,9232357.121615203,13766924.115139032,4.451727393032431,2,0.68,48.8,0,16.038225058313788,Small,True,144200.0,0,36.3,0.05,0.45
Global Industries Ltd,Delhi,Manufacturing,2447165.7633547904,3203925.1937454245,5.512818183847271,4,0.42,56.9,0,14.710441490227252,Small,True,103000.0,1,39.1,0.04,0.45
Nova Enterprises Corp,Rajasthan,Construction,32110845.5881934,38884707.88132377,3.105051230066112,3,0.68,53.9,0,17.284704430968635,Medium,False,51500.0,0,38.0,0.08,0.25
Global Enterprises Ltd,Telangana,IT Services,456807.1941449571,612629.9536428447,1.6277187970089115,1,0.15,16.0,1,13.032018875308754,Micro,True,51500.0,0,23.6,0.06,0.65
Lakshmi Ventures LLP,Maharashtra,Logistics,3659893.200623177,4638172.458576706,11.755817608559802,2,0.35,95.2,0,15.112944798026176,Small,True,226600.0,0,64.0,0.05,0.45
Nova Trading Pvt Ltd,Telangana,IT Services,2004535.4115448743,2507063.595159179,5.288461155921503,4,0.15,67.8,0,14.510923375801127,Small,True,51500.0,1,43.5,0.06,0.45
Blue Industries Corp,Karnataka,F&B,1212100.726191959,1706146.8805602652,5.488247464518137,3,0.55,37.4,0,14.007866374590876,Small,True,144200.0,0,32.5,0.05,0.45
Shree Industries Pvt Ltd,Gujarat,Construction,1990553.1328444364,2226948.4104813407,7.116509700034215,1,0.68,52.5,0,14.50392361665404,Small,True,123600.0,0,37.6,0.06,0.45
