COMPANY_NAME,STATE,INDUSTRY,AGE_YEARS,AUTHORIZED_CAP_INR,DIRECTOR_COUNT,IS_METRO,SECTOR_RISK_SCORE,CAPITAL_TIER,CREDIT_SCORE,DEFAULT_RISK,IS_OPPORTUNITY
Menon Beverages Enterprises,Tamil Nadu,F&B,9.61,50000.0,2,1,0.55,Micro,54.95,0,0
Agarwal Foods Pvt Ltd,Punjab,F&B,10.35,3065128.62,2,0,0.55,Small,55.18,0,0
Jodhpur Agarwal & Sons,Rajasthan,Manufacturing,7.63,1183803.76,2,1,0.48,Small,73.46,0,1
Shah Realty LLP,Gujarat,Construction,7.08,748519.78,2,0,0.65,Micro,48.31,1,0
Pune Traders Pvt Ltd,Maharashtra,Retail,1.2,54418.54,6,1,0.32,Micro,62.07,0,0
MH Chopra LLP,Maharashtra,IT Services,10.99,982161.46,3,0,0.2,Micro,70.77,0,1
MH Confectionery Pvt Ltd,Maharashtra,F&B,4.03,17758793.24,2,0,0.55,Medium,57.43,0,0
Pillai Movers Pvt Ltd,Madhya Pradesh,Logistics,1.27,3260146.45,2,1,0.38,Small,45.62,1,0
Surat Agro Pvt Ltd,Gujarat,F&B,7.33,50000.0,2,1,0.55,Micro,50.56,0,0
Jaipur Mehta & Sons,Rajasthan,Construction,9.07,35742009.86,2,1,0.65,Medium,58.02,0,0
Pune Anand Pvt Ltd,Maharashtra,IT Services,10.0,1017802.11,2,0,0.2,Small,71.42,0,1
BR Developers Pvt Ltd,Bihar,Construction,12.68,50000.0,2,0,0.65,Micro,48.89,1,0
Warangal Freight Enterprises,Telangana,Logistics,0.69,1421621.41,6,1,0.38,Small,67.2,0,1
Hubli Rao Enterprises,Karnataka,Logistics,5.03,490198.76,2,0,0.38,Micro,50.81,0,0
Hegde Works LLP,Karnataka,Manufacturing,9.18,110601356.49,2,1,0.48,Large,78.32,0,0
KA Pillai & Sons,Karnataka,Construction,3.71,10638285.24,2,1,0.65,Medium,50.86,0,0
Menon Digital Enterprises,Karnataka,IT Services,1.14,8625625.36,6,0,0.2,Small,79.14,0,0
Vadodara Logistics Pvt Ltd,Gujarat,Logistics,6.02,1139691.27,3,0,0.38,Small,58.96,0,0
Delhi Das & Sons,Delhi,Manufacturing,3.64,1246360.4,2,1,0.48,Small,59.82,0,0
Bengaluru Kumar & Sons,Karnataka,Manufacturing,14.27,134007.97,3,1,0.48,Micro,66.8,0,1
Kanpur Bose & Sons,Uttar Pradesh,Manufacturing,3.92,613053.94,2,0,0.48,Micro,66.11,0,1
Venkat SoftTech Pvt Ltd,Maharashtra,IT Services,3.13,62653215.75,6,1,0.2,Medium,89.76,0,0
Chopra Mart Enterprises,Karnataka,Retail,1.92,50000.0,2,0,0.32,Micro,44.43,1,0
Naidu Emporium & Co,Tamil Nadu,Retail,6.22,641360.52,2,0,0.32,Micro,54.26,0,0
Delhi Agarwal Pvt Ltd,Delhi,F&B,1.22,424610.11,6,1,0.55,Micro,51.87,0,0
WB Naidu Pvt Ltd,West Bengal,Retail,4.26,112491.18,2,0,0.32,Micro,65.49,0,1
Bengaluru Traders & Sons,Karnataka,Retail,5.24,220708.67,2,0,0.32,Micro,60.2,0,0
Capital Agarwal & Sons,Delhi,Construction,3.36,2803829.44,2,1,0.65,Small,42.49,1,0
Rao Digital LLP,Gujarat,IT Services,11.22,545109.55,3,1,0.2,Micro,75.19,0,1
MH Pillai Pvt Ltd,Maharashtra,Construction,1.89,4675223.34,3,1,0.65,Small,53.32,0,0
Kumar Manufacturing & Sons,Gujarat,Manufacturing,5.0,535756.03,3,1,0.48,Micro,66.63,0,1
Singh Dairy & Co,Maharashtra,F&B,9.36,571247.48,2,1,0.55,Micro,63.91,0,0
Bose Mart LLP,Maharashtra,Retail,5.22,323344.68,4,0,0.32,Micro,66.59,0,1
Ludhiana Technologies LLP,Punjab,IT Services,2.82,50751702.04,2,1,0.2,Medium,63.2,0,0
Darbhanga Menon & Co,Bihar,Manufacturing,13.51,814278.25,3,0,0.48,Micro,84.24,0,1
Patel Confectionery Enterprises,Andhra Pradesh,F&B,5.62,127415.08,2,1,0.55,Micro,59.17,0,0
Bengaluru Patel & Sons,Karnataka,F&B,11.49,138881.99,2,1,0.55,Micro,62.38,0,0
Mumbai Pillai Enterprises,Maharashtra,IT Services,9.56,10780397.54,2,1,0.2,Medium,85.67,0,0
UP Rao & Sons,Uttar Pradesh,F&B,0.72,570747.71,3,1,0.55,Micro,51.09,0,0
NCR Beverages Enterprises,Delhi,F&B,8.06,788188.08,2,1,0.55,Micro,51.86,0,0
MH Engineering Pvt Ltd,Maharashtra,Manufacturing,0.63,9224144.23,2,1,0.48,Small,44.65,1,0
Das Foods & Sons,Delhi,F&B,1.57,360807.77,2,1,0.55,Micro,48.07,1,0
Konkan Agro Pvt Ltd,Maharashtra,F&B,2.42,481136.53,4,0,0.55,Micro,56.13,0,0
Rohtak Reddy Pvt Ltd,Haryana,Manufacturing,9.79,24171903.82,3,0,0.48,Medium,79.9,0,0
Hubli Technologies Pvt Ltd,Karnataka,IT Services,19.38,51687.28,2,0,0.2,Micro,77.29,0,1
Kanpur Cargo Enterprises,Uttar Pradesh,Logistics,0.89,116763.86,2,1,0.38,Micro,55.01,0,0
Anand Technologies Enterprises,Tamil Nadu,IT Services,2.1,816752.58,2,0,0.2,Micro,51.78,0,0
Capital Chopra Pvt Ltd,Delhi,Logistics,10.0,529355.43,2,1,0.38,Micro,71.32,0,1
GJ Anand & Sons,Gujarat,Logistics,18.39,4520097.27,2,1,0.38,Small,76.85,0,1
Nair Solutions Pvt Ltd,Karnataka,IT Services,1.68,135342.03,2,1,0.2,Micro,49.19,1,0
Darbhanga Venkat LLP,Bihar,Retail,2.8,32027882.62,2,1,0.32,Medium,65.37,0,0
Venkat Cybertech Pvt Ltd,West Bengal,IT Services,5.46,86611.81,5,0,0.2,Micro,78.0,0,1
Chandigarh Shah Enterprises,Punjab,F&B,7.38,2841646.38,3,0,0.55,Small,80.02,0,0
Jain Estates LLP,Haryana,Construction,3.8,929344.47,3,1,0.65,Micro,52.89,0,0
Pillai Infosystems Pvt Ltd,Gujarat,IT Services,5.54,954870.12,2,1,0.2,Micro,59.06,0,0
Malabar Constructions Enterprises,Kerala,Construction,1.97,1419569.83,3,0,0.65,Small,36.99,1,0
Shah Transport Pvt Ltd,Maharashtra,Logistics,3.03,8667086.62,6,0,0.38,Small,68.58,0,0
Hubli Stores & Sons,Karnataka,Retail,0.87,7297796.1,2,1,0.32,Small,57.93,0,0
Das Digital LLP,Maharashtra,IT Services,0.79,50000.0,3,1,0.2,Micro,66.03,0,1
Chennai Nair Enterprises,Tamil Nadu,Logistics,13.84,1425738.45,2,0,0.38,Small,73.14,0,1
Coimbatore Das Pvt Ltd,Tamil Nadu,F&B,3.5,822033.28,6,0,0.55,Micro,61.8,0,0
Bengaluru Works Pvt Ltd,Karnataka,Manufacturing,5.59,144433.93,2,1,0.48,Micro,53.74,0,0
TS Cybertech & Sons,Telangana,IT Services,2.33,1009506.85,5,0,0.2,Small,51.08,0,0
Madurai Verma Pvt Ltd,Tamil Nadu,IT Services,8.53,2667377.51,2,0,0.2,Small,73.42,0,1
KA Reddy Enterprises,Karnataka,Logistics,3.92,463852.75,2,1,0.38,Micro,57.96,0,0
Gowda Commerce Pvt Ltd,Gujarat,Retail,1.29,125709.36,2,1,0.32,Micro,54.8,0,0
MH Emporium & Co,Maharashtra,Retail,8.88,2306001.57,2,1,0.32,Small,70.63,0,1
Tirupati Pillai LLP,Andhra Pradesh,Retail,1.75,4602041.74,3,0,0.32,Small,60.45,0,0
Mehta Nutrition LLP,Maharashtra,F&B,1.21,396277.41,2,1,0.55,Micro,44.62,1,0
HP Verma & Co,Himachal Pradesh,Construction,18.48,2870386.84,2,0,0.65,Small,56.24,0,0
