company_name,State,Sector,paid_up_capital,authorized_cap_inr,age_years,capital_tier,director_count,state_npa_proxy,credit_score,default_risk,is_metro,sector_risk_score
Nova Solutions Pvt Ltd,Maharashtra,IT Services,4476819.720307648,6269314.149717066,2.16,Micro,3,0.05,549,0,1,0.28
Maruti Solutions Pvt Ltd,Tamil Nadu,Retail,5839359.063454678,6686905.372842145,11.24,Micro,3,0.08,710,0,1,0.35
Apex Enterprises LLP,Maharashtra,Logistics,453225808.40527344,639984327.0413003,9.1,Medium,4,0.05,703,0,1,0.42
Apex Trading Ltd,Punjab,Retail,1672710.227509876,2123161.53591598,7.52,Micro,3,0.08,677,0,0,0.35
Ravi Foods Ltd,Gujarat,IT Services,31457089.486335713,41377712.95542048,6.09,Small,3,0.05,699,0,0,0.28
Dynamic Trading Ltd,Kerala,Logistics,9191045.316122016,11508598.646495854,5.82,Micro,4,0.08,681,0,0,0.42
Nova Builders Corp,Tamil Nadu,F&B,7795699.931218923,8650156.360638047,12.28,Micro,2,0.08,751,0,1,0.55
Dynamic Fabrics Pvt Ltd,Telangana,Manufacturing,1611849.527577906,1781750.752138673,6.1,Micro,3,0.08,681,0,1,0.48
Ravi Fabrics Ltd,Maharashtra,Logistics,6543742.623149398,8829319.831515234,2.26,Micro,2,0.05,542,0,1,0.42
Maruti Logistics Pvt Ltd,Karnataka,Retail,5893460.161143136,8620300.66248563,10.56,Micro,2,0.05,675,0,1,0.35
Apex Fabrics Corp,Uttar Pradesh,Manufacturing,1384711.184619796,1977911.990808426,14.34,Micro,1,0.11,740,0,0,0.48
Maruti Tech Corp,Maharashtra,Construction,2220785.919033911,3315213.570457176,7.73,Micro,2,0.05,709,0,1,0.62
Shree Trading Ltd,Maharashtra,F&B,2814691.4218823444,3804057.1348697906,9.75,Micro,2,0.05,717,0,1,0.55
Sai Tech Corp,Karnataka,Manufacturing,3839699.6905372473,4903703.788204224,5.49,Micro,2,0.05,702,0,1,0.48
Quality Enterprises Corp,Telangana,Manufacturing,5937214.497889142,6899947.978349794,7.59,Micro,2,0.08,674,0,1,0.48
Balaji Solutions LLP,Karnataka,IT Services,6117898.431523024,8318241.5732055055,10.19,Micro,3,0.05,683,0,1,0.28
Indian Trading Ltd,Tamil Nadu,Retail,9689235.878265133,11128421.369881682,5.59,Micro,4,0.08,626,0,1,0.35
