0,1,2,3,4,5,6,7
,,,,,,,
,No. 15: Deployment of Gross Bank Credit by Major Sectors ,,,,,,
,(₹ Crore),,,,,,
,Sector,Outstanding as on,,,,Growth(%),
,,"Mar. 21, 2025",2024,2025,,Financial year so far,Y-o-Y
,,,Dec. 27,Nov. 28,Dec. 31,2025-26,2025
,,1,2,3,4,%,%
,I. Bank Credit (II + III),18243972,17743037,19527313,20322515,11.4,14.5
,II. Food Credit,36531,56139,79801,87972,140.8,56.7
,III. Non-food Credit,18207441,17686899,19447512,20234543,11.1,14.4
,1. Agriculture & Allied Activities,2287060,2239028,2417050,2509224,9.7,12.1
,"2. Industry (Micro and Small, Medium and Large)",3985660,3893504,4219433,4413257,10.7,13.3
,2.1 Micro and Small,798473,778529,952302,1020007,27.7,31
,2.2 Medium,363245,350739,397098,422441,16.3,20.4
,2.3 Large,2823942,2764237,2870032,2970809,5.2,7.5
,3. Services,5093565,4905686,5359639,5654179,11,15.3
,3.1 Transport Operators,261575,255608,276292,253187,-3.2,-0.9
,3.2 Computer Software,32915,31582,40914,42275,28.4,33.9
,"3.3 Tourism, Hotels & Restaurants",83366,80492,92182,96721,16,20.2
,3.4 Shipping,7304,7102,10675,10457,43.2,47.2
,3.5 Aviation,46072,45998,48649,51012,10.7,10.9
,3.6 Professional Services,195957,189579,202814,210379,7.4,11
,3.7 Trade,1184550,1107395,1230778,1300841,9.8,17.5
,3.7.1. Wholesale Trade1,646099,580890,657179,708140,9.6,21.9
,3.7.2 Retail Trade,538451,526505,573600,592701,10.1,12.6
,3.8 Commercial Real Estate,523264,512114,570144,590850,12.9,15.4
,"3.9 Non-Banking Financial Companies (NBFCs)2 of which,",1635102,1621001,1723493,1865190,14.1,15.1
,3.9.1 Housing Finance Companies (HFCs),323182,319955,346320,352976,9.2,10.3
,3.9.2 Public Financial Institutions (PFIs),228678,218657,253237,291503,27.5,33.3
,3.10 Other Services3,1123459,1054817,1163697,1233266,9.8,16.9
,4. Personal Loans,5971696,5812624,6486418,6648250,11.3,14.4
,4.1 Consumer Durables,23201,23794,23028,22569,-2.7,-5.1
,4.2 Housing,3010477,2931739,3195341,3256351,8.2,11.1
,4.3 Advances against Fixed Deposits,141842,141575,147076,163243,15.1,15.3
,4.4 Advances to Individuals against share & bonds,10080,9791,9752,10194,1.1,4.1
,4.5 Credit Card Outstanding,284366,291087,296070,294068,3.4,1
,4.6 Education,137456,133139,149800,152789,11.2,14.8
,4.7 Vehicle Loans,622793,613296,680536,714631,14.7,16.5
,4.8 Loan against gold jewellery4,206284,168128,358645,382706,85.5,127.6
,4.9 Other Personal Loans,1535197,1500075,1626170,1651698,7.6,10.1
,5. Priority Sector (Memo),,,,,,
,(i) Agriculture & Allied Activities5,2287794,2236648,2433930,2554979,11.7,14.2
,(ii) Micro & Small Enterprises6,2239409,2145252,2588509,2755699,23.1,28.5
,(iii) Medium Enterprises7,601451,575433,648766,679642,13,18.1
,(iv) Housing,746651,751317,992100,1028285,37.7,36.9
,(v) Education Loans,62826,62993,74051,77388,23.2,22.9
,(vi) Renewable Energy,10325,8035,11555,11323,9.7,40.9
,(vii) Social Infrastructure,1316,999,1060,1277,-3,27.8
,(viii) Export Credit,12479,12455,11052,10749,-13.9,-13.7
,(ix) Others,49552,55138,41797,42822,-13.6,-22.3
,(x) Weaker Sections including net PSLC- SF/MF,1864606,1748608,1944735,2001782,7.4,14.5
,"Notes: (1) Data are provisional. Bank credit, Food credit and Non-food credit data are based on fortnightly Section-42 return, which covers all scheduled commercial banks (SCBs), while sectoral non-food credit data are based on sector-wise and industry-wise bank credit (SIBC) return, which covers select banks accounting for about 95 per cent of total non-food credit extended by all SCBs.""",,,,,,
,"(2) With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data for the last reporting fortnight (as per old definition) for the corresponding month of the previous year.",,,,,,
,1 Wholesale trade includes food procurement credit outside the food credit consortium.,,,,,,
,"2 NBFCs include HFCs, PFIs, Microfinance Institutions (MFIs), NBFCs engaged in gold loan and others.",,,,,,
,"3 “Other Services” include Mutual Fund (MFs), Banking and Finance other than NBFCs and MFs, and other services which are not indicated elsewhere under services.",,,,,,
,"4 Since May 2024, a bank has changed the classification of a category of agricultural loan into “Loans against gold jewellery” under retail segment.",,,,,,
,5 “Agriculture and Allied Activities” under the priority sector also include priority sector lending certificates (PSLCs).,,,,,,
,6 “Micro and Small Enterprises” under the priority sector include credit to micro and small enterprises in industry and services sectors and also include PSLCs.,,,,,,
,7 “Medium Enterprises” under the priority sector include credit to medium enterprises in industry and services sectors.,,,,,,
